112,199
114,251
121,301
129,351
150,396
180,435
217,471
257,501
302,510
347,500
387,470
423,434
452,394
471,349
480,299
486,250
488,199
143,164
168,145
201,139
234,144
264,157
340,156
370,143
402,139
435,146
459,166
302,196
302,233
303,269
303,306
263,317
282,325
303,332
322,325
341,317
181,199
203,186
228,187
250,205
226,207
201,206
353,205
375,188
399,186
421,199
401,207
377,207
212,360
246,354
278,353
302,358
325,354
357,355
390,360
359,400
327,418
301,421
275,418
244,399
224,364
278,366
301,370
325,367
378,364
326,395
301,398
277,395
